beta(ib),,0(base),1.00E-02,1.00E-03,1.00E-04,1.00E-05,1.00E-06,,1.00E+01,1.00E+00,0(base),1.00E-01,1.00E-02,1.00E-03,1.00E-04,1.00E-05,1.00E-06,,0(base),1.00E-02,1.00E-03,1.00E-04,1.00E-05,1.00E-06
,,visual,,,,,,,audio,,,,,,,,,,lib,,,,,
Arts,F-score,56.053716,56.57731,56.08609,56.23715,56.59955,56.28663,0.97%,55.83210785,57.09087556,58.062005,57.15203963,56.11051,56.99617,55.71543,57.13711,57.27872,,57.85690003,56.91520585,57.73634498,57.6522303,57.49913352,57.12821541
,MAP50,57.00323,54.4763,56.70968,57.33369,54.41936,57.3754,0.65%,52.64373057,49.41740919,60.55846,49.92690974,52.5355,49.58553,53.48415,49.414,54.44471,,61.07118731,59.14743363,57.00619606,60.96988486,60.84350999,56.67397749
,MAP15,23.42614,20.2775,22.93217,23.77275,20.26804,24.25019,3.52%,19.35101886,13.80219884,26.54061,14.59688712,18.8095,13.95816,19.52104,13.79539,19.95067,,27.06757691,24.56118008,22.15557281,26.71442653,26.9354437,21.98439772
Autos,F-score,54.027493,53.96997,54.38108,54.56962,54.08538,54.70715,1.26%,55.31361067,55.03535855,54.10734229,54.16421213,54.70192,54.80003,55.35697,55.27211,54.3688,,54.86201888,54.23378389,54.34978337,54.70474924,53.99186693,54.6137063
,MAP50,58.62148,53.6348,55.04847,55.40658,58.8317,55.01631,0.36%,49.66599996,50.082446,55.57431,51.01378564,49.56413,52.35486,49.30965,49.30965,49.77892,,60.02035352,58.35659681,59.31486298,58.14260593,55.7169966,57.75969888
,MAP15,25.75364,20.16318,21.60164,22.12727,25.23192,21.62439,-2.03%,14.2168529,14.88529208,23.01776,16.71505668,14.10398,18.63392,13.65699,13.65699,14.5462,,27.32227348,25.38835684,26.29370152,24.86466314,22.29088983,24.48531779
Beauty,F-score,55.13450707,54.9602,54.64275,54.34571,54.73641,54.47201,-0.32%,55.088694,54.09070989,54.14013267,55.61353208,54.55579,54.64275,55.59002,55.59002,53.69061,,55.8721242,55.20134703,55.00352016,55.80879142,54.5828912,55.06306879
,MAP50,59.56331,60.31017,56.26035,54.35084,56.64619,54.32103,1.25%,51.02210947,52.86156755,54.33346,49.46925163,50.12259,56.26035,49.49918,49.48567,54.7411,,60.899816,60.63426713,58.09244925,58.36631847,56.87329962,58.70904569
